transaction_day,total_amount_withdrawn
3-10-18,456800
3-10-19,371300
3-10-20,367100
3-10-21,288000
3-10-22,234100
3-10-23,325800
3-10-24,363400
3-10-25,330900
3-10-26,417500
3-10-27,239500
3-10-28,272600
3-10-29,540600
3-10-30,381000
3-10-31,495100
3-11-01,572700
3-11-02,449800
3-11-03,387200
3-11-04,220900
3-11-05,273500
3-11-06,375900
3-11-07,426000
3-11-08,361100
3-11-09,326500
3-11-10,361600
3-11-11,273800
3-11-12,343200
3-11-13,487300
3-11-14,353300
3-11-15,491200
3-11-16,468600
3-11-17,394700
3-11-18,313800
3-11-19,329400
3-11-20,267600
3-11-21,379700
3-11-22,358100
3-11-23,408600
3-11-24,191100
3-11-25,411300
3-11-26,431100
3-11-27,219700
3-11-28,450400
3-11-29,430600
3-11-30,290800
3-12-01,358500
3-12-02,443800
3-12-03,484600
3-12-04,479500
3-12-05,451200
3-12-06,585200
3-12-07,479600
3-12-08,321300
3-12-09,377700
3-12-10,308800
3-12-11,413200
3-12-12,352400
3-12-23,92500
3-12-24,147300
3-12-25,330400
3-12-26,340800
3-12-27,273000
3-12-28,353900
3-12-29,312900
3-12-30,328700
3-12-31,607900
4-01-01,360800
4-01-02,257500
4-01-03,336400
4-01-04,352600
4-01-05,516200
4-01-06,420700
4-01-07,593100
4-01-08,463800
4-01-09,508700
4-01-10,420900
4-01-11,435200
4-01-12,340600
4-01-13,287100
4-01-14,252600
4-01-15,461600
4-01-16,438400
4-01-17,342800
4-01-18,404500
4-01-19,389500
4-01-20,310400
4-01-21,319800
4-01-22,220000
4-01-23,264600
4-01-24,385300
4-01-25,258500
4-01-26,415800
4-01-27,279800
4-01-28,398200
4-01-29,234200
4-01-30,274700
4-01-31,401100
4-02-01,384700
4-02-02,543000
4-02-03,344200
4-02-04,540000
4-02-05,354500
4-02-06,335000
4-02-07,545900
4-02-08,385900
4-02-09,175500
4-02-10,316100
4-02-11,396100
4-02-12,485800
4-02-13,361600
4-02-14,559300
4-02-15,400300
4-02-16,376100
4-02-17,259100
4-02-18,377600
4-02-19,401700
4-02-20,363200
4-02-21,484400
4-02-22,316300
4-02-23,310700
4-02-24,301000
4-02-25,271300
4-02-26,222100
4-02-27,266000
4-02-28,453000
4-03-01,573800
4-03-02,478400
4-03-03,547600
4-03-04,563500
4-03-05,460500
4-03-06,391000
4-03-07,428200
4-03-08,683500
4-03-09,350000
4-03-10,423900
4-03-11,339300
4-03-12,406600
4-03-13,305100
4-03-14,333300
4-03-15,489000
4-03-16,368300
4-03-17,118800
4-03-18,360200
4-03-19,455000
4-03-20,422700
4-03-21,357500
4-03-22,238300
4-03-23,288900
4-03-24,338200
4-03-25,372700
4-03-26,468900
4-03-27,510400
4-03-28,378700
4-03-29,356900
4-03-30,340100
4-03-31,765300
4-04-02,313900
4-04-03,423800
4-04-04,478100
4-04-05,401700
4-04-06,360500
4-04-07,462300
4-04-08,476200
4-04-09,408700
4-04-10,637200
4-04-11,441100
4-04-12,439100
4-04-13,257900
4-04-14,126200
4-04-15,200600
4-04-16,499800
4-04-17,472100
4-04-18,413600
4-04-19,372300
4-04-20,361100
4-04-21,322500
4-04-22,439100
4-04-23,371700
4-04-24,29300
4-04-25,331000
4-04-26,511300
4-04-27,254000
4-04-28,295200
4-04-29,374100
4-04-30,361500
4-05-01,349200
4-05-02,473000
4-05-03,248200
4-05-04,340500
4-05-05,190900
4-05-06,155700
4-05-07,376700
4-05-08,298800
4-05-09,145900
4-05-10,369500
4-05-11,203300
4-05-12,269600
4-05-13,404800
4-05-14,398400
4-05-15,208600
4-05-16,381900
4-05-17,314500
4-05-18,402100
4-05-19,317200
4-05-20,359700
4-05-21,415100
4-05-22,277200
4-05-23,205200
4-05-24,480300
4-05-25,418700
4-05-26,421500
4-05-27,492600
4-05-28,321100
4-05-29,561100
4-05-30,341900
4-05-31,340000
4-06-01,395500
4-06-02,639000
4-06-03,364400
4-06-04,334900
4-06-05,519100
4-06-06,442000
4-06-07,566200
4-06-08,302600
4-06-09,482500
4-06-10,544900
4-06-11,452800
4-06-12,374100
4-06-13,337400
4-06-14,353900
4-06-15,441700
4-06-16,284100
4-06-17,331000
4-06-18,250800
4-06-19,351900
4-06-20,330000
4-06-21,191000
4-06-22,263400
4-06-23,270000
4-06-24,293300
4-06-25,344400
4-06-26,259800
